Flow_ID,Client_IP_1,Client_IP_2,Client_IP_3,Client_IP_4,Client_IP,Client_Port,Server_IP_1,Server_IP_2,Server_IP_3,Server_IP_4,Server_IP,Server_Port,Transport,Start,End,Duration,Frames,Payload_Bytes,TCP_Flags,File_ID,Gannt_Chart
313,244,3,160,239,4093878511,38147,94,2,202,203,1577241291,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,21,8852,  AP SF,1,
334,244,3,185,121,4093884793,1131,41,177,98,220,699491036,7010,TCP,12/17/2009 16:37,12/17/2009 16:40,03:27.,84,38956,  AP   ,1,
335,41,106,180,77,694858829,1269,41,177,241,46,699527470,443,TCP,12/17/2009 16:37,12/17/2009 16:41,03:33.,44,726,  AP   ,1,
336,68,159,161,82,1151312210,59793,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:09.,32,8549,  AP SF,1,
337,68,159,161,82,1151312210,59792,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,24,5519,  APRSF,1,
338,68,159,161,82,1151312210,59791,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,22,3376,  APRSF,1,
339,68,159,161,82,1151312210,59790,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:08.,33,11757,  AP SF,1,
340,68,159,161,82,1151312210,59794,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,22,3967,  APRSF,1,
346,77,55,145,124,1295487356,9873,244,3,210,197,4093891269,80,TCP,12/17/2009 16:37,12/17/2009 16:39,02:24.,144,104009,  AP   ,1,
348,41,177,26,176,699472560,80,122,39,210,202,2049430218,47217,TCP,12/17/2009 16:37,12/17/2009 16:38,01:00.,2,2760,  AP   ,1,
349,41,177,3,224,699466720,51186,41,177,117,184,699495864,1606,TCP,12/17/2009 16:37,12/17/2009 16:41,03:40.,199,66114,  AP   ,1,
350,77,197,128,164,1304789156,34921,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:02.,25,10182,  APRS,1,
382,122,39,210,202,2049430218,48700,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,17,5478,  AP SF,1,
396,244,3,160,248,4093878520,51737,41,177,26,55,699472439,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:17.,22,10747,  AP SF,1,
397,244,3,41,84,4093847892,23,244,3,34,157,4093846173,1448,TCP,12/17/2009 16:37,12/17/2009 16:41,03:41.,298,91784,  AP   ,1,
403,41,106,176,15,694857743,33082,41,177,241,46,699527470,443,TCP,12/17/2009 16:37,12/17/2009 16:40,03:30.,62,2063,  AP   ,1,
408,193,77,145,67,3243086147,3794,41,177,98,176,699490992,80,TCP,12/17/2009 16:37,12/17/2009 16:38,00:47.,64,49244,  APRSF,1,
415,68,157,168,203,1151183051,44217,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:38,00:39.,420,156556,  AP  F,1,
421,41,106,180,77,694858829,25958,41,177,241,46,699527470,443,TCP,12/17/2009 16:37,12/17/2009 16:41,03:34.,46,837,  AP   ,1,
423,244,3,79,145,4093857681,1184,41,177,98,167,699490983,1521,TCP,12/17/2009 16:37,12/17/2009 16:37,00:23.,414,35454,  AP   ,1,
425,77,197,128,143,1304789135,22136,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,19,11049,  APRS,1,
426,90,38,138,255,1512475391,14406,244,3,160,239,4093878511,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,10,957,  AP SF,1,
427,253,37,253,251,4247125499,2712,253,160,108,83,4255149139,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,14,5930,  APRSF,1,
429,244,3,160,239,4093878511,38148,198,123,241,156,3330011548,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,11,952,  AP SF,1,
430,41,177,3,224,699466720,38681,41,177,117,184,699495864,1607,TCP,12/17/2009 16:37,12/17/2009 16:40,03:30.,195,42645,  AP   ,1,
432,77,197,128,106,1304789098,16804,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,20,11377,  APRS,1,
438,41,177,3,224,699466720,51236,41,177,117,184,699495864,1613,TCP,12/17/2009 16:37,12/17/2009 16:41,03:40.,177,55125,  AP   ,1,
